transaction_id,timestamp,merchant_name,Unnamed: 3,merchant_category,amount,payment_mode,is_recurring,user_balance_pre,label_category,label_urgency
TXN0057,2026-01-06 06:04:00,Amazon India,,Shopping,8900,UPI,False,35164,Yellow,Discretionary
TXN0058,2026-01-10 14:03:00,Spotify India,,Subscriptions,18565,Credit Card,True,79776,Yellow,Discretionary
TXN0059,2026-01-12 10:17:00,HDFC Life,,Insurance,33222,UPI,False,64532,Red,Critical
TXN0060,2026-01-01 03:52:00,UPI-SWIGGY@ICICI,,Dining,18232,Credit Card,False,6278,Yellow,Discretionary
TXN0061,2026-01-21 02:36:00,Spotify India,,Subscriptions,10689,Net Banking,True,97654,Yellow,Discretionary
TXN0062,2026-01-07 18:48:00,UPI-BSESRAJASTHAN@HDFC,,Utilities,5031,UPI,True,91073,Red,Critical
TXN0063,2026-01-02 21:41:00,IRCTC,,Travel,28266,Credit Card,False,17204,Yellow,Discretionary
TXN0064,2026-02-01 00:59:00,IRCTC,,Travel,23549,Debit Card,False,28035,Yellow,Discretionary
TXN0065,2026-01-29 05:55:00,INOX Movies,,Entertainment,36792,Debit Card,False,53764,Yellow,Discretionary
TXN0066,2026-01-02 03:04:00,Uber,,Commuting,11703,Debit Card,False,54540,Orange,Necessary
TXN0067,2026-01-12 07:03:00,Udemy,,Education,44003,Credit Card,False,96845,Orange,Necessary
TXN0068,2026-01-22 10:07:00,HDFC Home Loan,,Mortgage,25170,Debit Card,True,5575,Red,Critical
TXN0069,2026-01-11 08:35:00,HDFC Life,,Insurance,23015,Debit Card,False,40501,Red,Critical
TXN0070,2026-01-15 22:32:00,TATA POWER,,Utilities,12756,Credit Card,True,52727,Red,Critical
TXN0071,2026-01-24 04:24:00,UPI-SWIGGY@ICICI,,Dining,23112,Net Banking,False,84580,Yellow,Discretionary
TXN0072,2026-01-09 03:02:00,Coursera,,Education,7659,Credit Card,False,34737,Orange,Necessary
TXN0073,2026-01-16 17:34:00,Rajesh General Store,,Groceries,39196,Credit Card,False,57459,Orange,Necessary
TXN0074,2026-01-09 15:37:00,Lakme Salon,,Personal_Care,25344,Credit Card,False,76074,Yellow,Discretionary
TXN0075,2026-01-24 15:53:00,Reliance Fresh,,Groceries,28677,Debit Card,False,721,Orange,Necessary
TXN0076,2026-01-16 00:39:00,MakeMyTrip,,Travel,4685,Credit Card,False,87562,Yellow,Discretionary
TXN0077,2026-01-31 08:25:00,INOX Movies,,Entertainment,33334,Net Banking,False,41038,Yellow,Discretionary
TXN0078,2026-01-26 05:33:00,Udemy,,Education,45792,Debit Card,False,39252,Orange,Necessary
TXN0079,2026-01-31 19:48:00,HDFC Life,,Insurance,43676,Debit Card,True,50195,Red,Critical
TXN0080,2026-01-14 19:54:00,Flipkart,,Shopping,36009,Credit Card,False,553,Yellow,Discretionary
TXN0081,2026-01-30 19:06:00,HDFC Life,,Insurance,38109,Credit Card,True,80016,Red,Critical
TXN0082,2026-01-10 17:25:00,Loan EMI,,Financial,29077,Net Banking,True,89055,Red,Critical
TXN0083,2026-01-31 05:06:00,HDFC Home Loan,,Mortgage,18698,Credit Card,True,68061,Red,Critical
TXN0084,2026-01-11 05:22:00,UPI-ZOMATO-PAYMENTS@HDFC,,Dining,44192,Debit Card,False,41187,Yellow,Discretionary
TXN0085,2026-01-22 14:58:00,VPA-Netflix@PAYTM,,Subscriptions,3128,UPI,True,32592,Yellow,Discretionary
TXN0086,2026-01-09 20:22:00,Loan EMI,,Financial,41372,Net Banking,True,75954,Red,Critical
TXN0087,2026-01-30 20:35:00,QR-PAYMENT,,Miscellaneous,16089,UPI,False,19842,Yellow,Discretionary
TXN0088,2026-02-01 16:07:00,INOX Movies,,Entertainment,14441,Net Banking,False,23553,Yellow,Discretionary
TXN0089,2026-01-21 18:34:00,Reliance Fresh,,Groceries,16431,Debit Card,False,16406,Orange,Necessary
TXN0090,2026-01-28 21:10:00,Loan EMI,,Financial,49596,Net Banking,True,58508,Red,Critical
TXN0091,2026-01-21 11:35:00,Credit Card Bill,,Financial,48836,Credit Card,False,62716,Red,Critical
TXN0092,2026-01-23 01:18:00,Metro Card Recharge,,Commuting,18273,Debit Card,False,68827,Orange,Necessary
TXN0093,2026-01-14 00:05:00,Fortis Hospital,,Healthcare,5177,Debit Card,False,94025,Orange,Necessary
TXN0094,2026-01-04 16:00:00,Fortis Hospital,,Healthcare,21052,Debit Card,False,71298,Orange,Necessary
TXN0095,2026-01-07 22:54:00,VPA-Netflix@PAYTM,,Subscriptions,25202,Debit Card,True,91457,Yellow,Discretionary
TXN0096,2026-01-25 16:40:00,UPI-SWIGGY@ICICI,,Dining,26812,Net Banking,False,43869,Yellow,Discretionary
TXN0097,2026-01-18 17:24:00,Lakme Salon,,Personal_Care,13655,UPI,False,55569,Yellow,Discretionary
TXN0098,2026-01-14 14:09:00,Indian Oil,,Fuel,486,Net Banking,False,46605,Orange,Necessary
TXN0099,2026-01-13 10:07:00,Lakme Salon,,Personal_Care,32096,Net Banking,False,29260,Yellow,Discretionary
TXN0100,2026-01-31 10:35:00,UPI-UNKNOWN,,Miscellaneous,25584,Net Banking,False,44557,Yellow,Discretionary
TXN0101,2026-01-25 07:24:00,SBI Home Loan,,Mortgage,8464,UPI,True,82060,Red,Critical
TXN0102,2026-01-20 12:09:00,HP Petrol Pump,,Fuel,5601,Debit Card,False,84746,Orange,Necessary
TXN0103,2026-01-18 06:04:00,Credit Card Bill,,Financial,3395,Credit Card,False,34599,Red,Critical
TXN0104,2026-02-04 15:27:00,HDFC Life,,Insurance,21520,Net Banking,True,44736,Red,Critical
TXN0105,2026-01-22 09:42:00,Fortis Hospital,,Healthcare,16632,UPI,False,11235,Orange,Necessary
TXN0106,2026-01-04 02:56:00,Dmart,,Groceries,14794,UPI,False,85715,Orange,Necessary
TXN0107,2026-01-29 06:39:00,UPI-BSESRAJASTHAN@HDFC,,Utilities,13165,Debit Card,False,3171,Red,Critical
TXN0108,2026-01-06 04:56:00,Uber,,Commuting,31135,Debit Card,False,88247,Orange,Necessary
TXN0109,2026-01-28 13:47:00,Loan EMI,,Financial,24275,UPI,True,22492,Red,Critical
TXN0110,2026-01-02 04:02:00,SBI Home Loan,,Mortgage,7184,Credit Card,False,76349,Red,Critical
TXN0111,2026-01-04 11:00:00,Indian Oil,,Fuel,46959,Debit Card,False,26495,Orange,Necessary
TXN0112,2026-01-06 12:13:00,INOX Movies,,Entertainment,44943,UPI,False,79197,Yellow,Discretionary
TXN0113,2026-01-04 03:19:00,MakeMyTrip,,Travel,43453,Credit Card,False,49071,Yellow,Discretionary
TXN0114,2026-01-20 17:31:00,UPI-MSEB@SBI,,Utilities,32225,Credit Card,False,14333,Red,Critical
TXN0115,2026-02-03 09:30:00,Credit Card Bill,,Financial,28640,Credit Card,False,23586,Red,Critical
TXN0116,2026-01-27 23:08:00,QR-PAYMENT,,Miscellaneous,28645,Credit Card,False,96317,Yellow,Discretionary
TXN0117,2026-01-21 12:23:00,Coursera,,Education,5779,Debit Card,False,37059,Orange,Necessary
TXN0118,2026-01-23 11:54:00,Loan EMI,,Financial,22146,Credit Card,False,4261,Red,Critical
TXN0119,2026-01-12 18:11:00,SBI Home Loan,,Mortgage,14001,Credit Card,True,47007,Red,Critical
TXN0120,2026-01-24 12:17:00,Fortis Hospital,,Healthcare,36524,Debit Card,False,1830,Orange,Necessary
TXN0121,2026-01-23 05:39:00,UPI-ZOMATO-PAYMENTS@HDFC,,Dining,47290,Debit Card,False,53771,Yellow,Discretionary
TXN0122,2026-01-05 05:38:00,QR-PAYMENT,,Miscellaneous,29471,Credit Card,False,2760,Yellow,Discretionary
TXN0123,2026-01-14 22:27:00,Ola,,Commuting,45436,Credit Card,False,32390,Orange,Necessary
TXN0124,2026-01-26 01:10:00,QR-PAYMENT,,Miscellaneous,27985,Credit Card,False,98271,Yellow,Discretionary
TXN0125,2026-01-12 10:35:00,MakeMyTrip,,Travel,17854,Debit Card,False,40689,Yellow,Discretionary
TXN0126,2026-02-03 19:25:00,UPI-PVR@PAYTM,,Entertainment,20779,Debit Card,False,16170,Yellow,Discretionary
TXN0127,2026-01-13 14:00:00,LIC Premium Payment,,Insurance,48505,Credit Card,True,63964,Red,Critical
TXN0128,2026-01-17 10:10:00,UPI-PVR@PAYTM,,Entertainment,19514,Debit Card,False,30316,Yellow,Discretionary
TXN0129,2026-01-06 18:15:00,Amazon India,,Shopping,46500,Credit Card,False,70510,Yellow,Discretionary
TXN0130,2026-02-01 17:45:00,Rajesh General Store,,Groceries,36364,Debit Card,False,38790,Orange,Necessary
TXN0131,2026-01-13 22:34:00,UPI-UNKNOWN,,Miscellaneous,903,Net Banking,False,75743,Yellow,Discretionary
TXN0132,2026-01-03 08:07:00,QR-PAYMENT,,Miscellaneous,22428,Credit Card,False,24664,Yellow,Discretionary
TXN0133,2026-01-23 09:07:00,UPI-UNKNOWN,,Miscellaneous,4382,UPI,False,53021,Yellow,Discretionary
TXN0134,2026-01-14 19:52:00,Rajesh General Store,,Groceries,9877,UPI,False,74272,Orange,Necessary
TXN0135,2026-01-28 14:15:00,Uber,,Commuting,36673,Debit Card,False,55048,Orange,Necessary
TXN0136,2026-01-27 18:49:00,Indian Oil,,Fuel,29114,Net Banking,False,39474,Orange,Necessary
TXN0137,2026-01-05 12:23:00,Amazon India,,Shopping,40052,Debit Card,False,97504,Yellow,Discretionary
TXN0138,2026-01-08 03:32:00,HDFC Life,,Insurance,43381,Debit Card,True,11141,Red,Critical
TXN0139,2026-01-19 14:12:00,HDFC Home Loan,,Mortgage,10358,Net Banking,True,850,Red,Critical
TXN0140,2026-01-14 02:41:00,QR-PAYMENT,,Miscellaneous,2239,Credit Card,False,30840,Yellow,Discretionary
TXN0141,2026-01-13 00:57:00,Credit Card Bill,,Financial,45148,Debit Card,True,31095,Red,Critical
TXN0142,2026-01-30 11:23:00,Lakme Salon,,Personal_Care,35788,Debit Card,False,29966,Yellow,Discretionary
TXN0143,2026-01-08 13:13:00,Apollo Pharmacy,,Healthcare,4779,Credit Card,False,8316,Orange,Necessary
TXN0144,2026-02-01 08:13:00,Flipkart,,Shopping,8249,Credit Card,False,61933,Yellow,Discretionary
TXN0145,2026-01-23 11:21:00,Indian Oil,,Fuel,32898,Net Banking,False,71276,Orange,Necessary
TXN0146,2026-01-15 16:03:00,UPI-ZOMATO-PAYMENTS@HDFC,,Dining,28413,Credit Card,False,96776,Yellow,Discretionary
TXN0147,2026-01-27 04:16:00,UPI-BSESRAJASTHAN@HDFC,,Utilities,15102,UPI,True,88881,Red,Critical
TXN0148,2026-01-22 09:54:00,Apollo Pharmacy,,Healthcare,49662,Net Banking,False,23462,Orange,Necessary
TXN0149,2026-01-29 21:21:00,Apollo Pharmacy,,Healthcare,38460,Net Banking,False,57632,Orange,Necessary
TXN0150,2026-01-16 04:03:00,UPI-SWIGGY@ICICI,,Dining,22903,Credit Card,False,54023,Yellow,Discretionary
TXN0151,2026-02-01 13:40:00,UPI-PVR@PAYTM,,Entertainment,21714,Net Banking,False,54455,Yellow,Discretionary
TXN0152,2026-01-02 16:04:00,Flipkart,,Shopping,49940,Net Banking,False,72602,Yellow,Discretionary
TXN0153,2026-01-06 06:37:00,UPI-SWIGGY@ICICI,,Dining,16641,Net Banking,False,42872,Yellow,Discretionary
TXN0154,2026-01-19 19:22:00,TATA POWER,,Utilities,35659,UPI,False,61052,Red,Critical
TXN0155,2026-01-23 16:29:00,HDFC Life,,Insurance,40904,Net Banking,True,99648,Red,Critical
TXN0156,2026-01-06 23:06:00,Rajesh General Store,,Groceries,17601,Credit Card,False,72487,Orange,Necessary
TXN0157,2026-01-29 16:09:00,Loan EMI,,Financial,8057,Debit Card,True,4283,Red,Critical
TXN0158,2026-01-26 03:12:00,SBI Home Loan,,Mortgage,36199,Net Banking,False,2292,Red,Critical
TXN0159,2026-01-06 08:18:00,UPI-ZOMATO-PAYMENTS@HDFC,,Dining,7535,Debit Card,False,60982,Yellow,Discretionary
TXN0160,2026-01-13 10:39:00,QR-PAYMENT,,Miscellaneous,33449,Net Banking,False,92959,Yellow,Discretionary
TXN0161,2026-01-26 02:07:00,QR-PAYMENT,,Miscellaneous,16073,Debit Card,False,60371,Yellow,Discretionary
TXN0162,2026-02-03 23:09:00,HP Petrol Pump,,Fuel,39380,Debit Card,False,67116,Orange,Necessary
TXN0163,2026-01-24 02:35:00,UPI-SWIGGY@ICICI,,Dining,27293,Credit Card,False,45048,Yellow,Discretionary
TXN0164,2026-01-27 17:05:00,UPI-MSEB@SBI,,Utilities,47682,Net Banking,False,39632,Red,Critical
TXN0165,2026-01-16 16:58:00,Spotify India,,Subscriptions,35396,Credit Card,True,63983,Yellow,Discretionary
TXN0166,2026-02-01 17:51:00,Indian Oil,,Fuel,21188,Debit Card,False,25227,Orange,Necessary
TXN0167,2026-01-15 11:32:00,HP Petrol Pump,,Fuel,27020,Net Banking,False,6220,Orange,Necessary
TXN0168,2026-01-07 22:08:00,Indian Oil,,Fuel,43595,Net Banking,False,85961,Orange,Necessary
TXN0169,2026-01-16 02:37:00,Rajesh General Store,,Groceries,33018,UPI,False,77856,Orange,Necessary
TXN0170,2026-01-01 16:45:00,Credit Card Bill,,Financial,34568,Debit Card,False,60390,Red,Critical
TXN0171,2026-01-13 01:28:00,Lakme Salon,,Personal_Care,5003,Credit Card,False,62037,Yellow,Discretionary
TXN0172,2026-01-25 06:51:00,HP Petrol Pump,,Fuel,21632,Net Banking,False,88889,Orange,Necessary
TXN0173,2026-01-25 14:56:00,College Fee,,Education,47201,UPI,False,64456,Orange,Necessary
TXN0174,2026-01-14 01:53:00,UPI-ZOMATO-PAYMENTS@HDFC,,Dining,41463,Debit Card,False,90205,Yellow,Discretionary
TXN0175,2026-02-02 00:50:00,UPI-SWIGGY@ICICI,,Dining,6551,UPI,False,83566,Yellow,Discretionary
TXN0176,2026-01-02 07:37:00,Credit Card Bill,,Financial,45582,UPI,False,39751,Red,Critical
TXN0177,2026-01-18 01:25:00,Coursera,,Education,19326,Net Banking,False,47484,Orange,Necessary
TXN0178,2026-01-26 18:08:00,VPA-Netflix@PAYTM,,Subscriptions,34910,Debit Card,True,54508,Yellow,Discretionary
TXN0179,2026-01-18 09:50:00,HDFC Home Loan,,Mortgage,5275,Debit Card,True,80387,Red,Critical
TXN0180,2026-01-30 00:45:00,UPI-UNKNOWN,,Miscellaneous,15316,Credit Card,False,60943,Yellow,Discretionary
TXN0181,2026-01-22 04:10:00,Loan EMI,,Financial,43802,Credit Card,False,1731,Red,Critical
TXN0182,2026-01-27 17:47:00,HDFC Home Loan,,Mortgage,29049,Credit Card,False,45793,Red,Critical
TXN0183,2026-01-10 01:35:00,Urban Company,,Personal_Care,30039,Net Banking,False,40099,Yellow,Discretionary
TXN0184,2026-01-27 00:41:00,UPI-UNKNOWN,,Miscellaneous,15645,Credit Card,False,50486,Yellow,Discretionary
TXN0185,2026-01-19 00:19:00,Flipkart,,Shopping,1537,Credit Card,False,86775,Yellow,Discretionary
TXN0186,2026-01-03 05:34:00,TATA POWER,,Utilities,45044,Net Banking,False,98105,Red,Critical
TXN0187,2026-01-10 23:12:00,Amazon India,,Shopping,39884,Debit Card,False,46679,Yellow,Discretionary
TXN0188,2026-01-29 13:21:00,Apollo Pharmacy,,Healthcare,41272,UPI,False,13235,Orange,Necessary
TXN0189,2026-01-17 14:31:00,Flipkart,,Shopping,2286,Debit Card,False,76465,Yellow,Discretionary
TXN0190,2026-01-19 21:50:00,UPI-SWIGGY@ICICI,,Dining,21511,Debit Card,False,98473,Yellow,Discretionary
TXN0191,2026-01-25 03:49:00,LIC Premium Payment,,Insurance,35450,Credit Card,True,48453,Red,Critical
TXN0192,2026-02-03 23:26:00,SBI Home Loan,,Mortgage,31678,Credit Card,False,39184,Red,Critical
TXN0193,2026-02-04 07:44:00,INOX Movies,,Entertainment,5034,Debit Card,False,18949,Yellow,Discretionary
TXN0194,2026-01-01 15:12:00,Indian Oil,,Fuel,6018,Credit Card,False,52217,Orange,Necessary
TXN0195,2026-02-04 02:07:00,INOX Movies,,Entertainment,24255,Credit Card,False,88688,Yellow,Discretionary
TXN0196,2026-01-11 15:23:00,Indian Oil,,Fuel,7200,Net Banking,False,88952,Orange,Necessary
TXN0197,2026-01-28 18:22:00,TATA POWER,,Utilities,36892,Debit Card,False,43492,Red,Critical
TXN0198,2026-01-30 13:08:00,UPI-SWIGGY@ICICI,,Dining,46045,Net Banking,False,40108,Yellow,Discretionary
TXN0199,2026-01-14 20:26:00,UPI-PVR@PAYTM,,Entertainment,3071,Net Banking,False,5377,Yellow,Discretionary
TXN0200,2026-01-07 04:10:00,UPI-PVR@PAYTM,,Entertainment,15487,Net Banking,False,70957,Yellow,Discretionary
TXN0201,2026-02-01 16:44:00,Loan EMI,,Financial,44040,Net Banking,True,97904,Red,Critical
TXN0202,2026-01-23 06:29:00,Spotify India,,Subscriptions,43020,Net Banking,True,13478,Yellow,Discretionary
TXN0203,2026-01-10 21:18:00,Apollo Pharmacy,,Healthcare,45338,Net Banking,False,49066,Orange,Necessary
TXN0204,2026-02-01 04:56:00,Credit Card Bill,,Financial,23868,Credit Card,False,13522,Red,Critical
TXN0205,2026-01-09 15:19:00,IRCTC,,Travel,26192,UPI,False,36660,Yellow,Discretionary
TXN0206,2026-01-30 04:54:00,Credit Card Bill,,Financial,43535,UPI,False,28301,Red,Critical
TXN0207,2026-01-26 16:40:00,Dmart,,Groceries,16062,Debit Card,False,17005,Orange,Necessary
TXN0208,2026-01-11 14:29:00,UPI-ZOMATO-PAYMENTS@HDFC,,Dining,38529,Credit Card,False,28805,Yellow,Discretionary
TXN0209,2026-01-06 21:59:00,VPA-Netflix@PAYTM,,Subscriptions,18271,Credit Card,True,19464,Yellow,Discretionary
TXN0210,2026-01-06 23:57:00,HDFC Home Loan,,Mortgage,43423,UPI,False,3879,Red,Critical
TXN0211,2026-01-01 17:14:00,IRCTC,,Travel,38691,Debit Card,False,42937,Yellow,Discretionary
TXN0212,2026-01-20 03:48:00,Apollo Pharmacy,,Healthcare,8407,UPI,False,97718,Orange,Necessary
TXN0213,2026-01-24 08:35:00,UPI-SWIGGY@ICICI,,Dining,29478,UPI,False,47953,Yellow,Discretionary
TXN0214,2026-02-03 02:20:00,Credit Card Bill,,Financial,40411,Credit Card,True,6183,Red,Critical
TXN0215,2026-01-19 06:40:00,Credit Card Bill,,Financial,4086,Net Banking,False,63281,Red,Critical
TXN0216,2026-01-04 08:16:00,INOX Movies,,Entertainment,46787,UPI,False,58638,Yellow,Discretionary
TXN0217,2026-01-06 17:50:00,College Fee,,Education,9821,Credit Card,False,9109,Orange,Necessary
TXN0218,2026-01-14 10:06:00,Udemy,,Education,39250,Net Banking,False,70041,Orange,Necessary
TXN0219,2026-01-30 19:07:00,Lakme Salon,,Personal_Care,46091,Debit Card,False,15496,Yellow,Discretionary
TXN0220,2026-01-16 10:12:00,Urban Company,,Personal_Care,15074,Net Banking,False,54739,Yellow,Discretionary
TXN0221,2026-01-15 05:23:00,Indian Oil,,Fuel,47915,Net Banking,False,12963,Orange,Necessary
TXN0222,2026-01-07 22:43:00,College Fee,,Education,16804,Net Banking,False,49560,Orange,Necessary
TXN0223,2026-01-20 15:43:00,UPI-ZOMATO-PAYMENTS@HDFC,,Dining,5694,UPI,False,12719,Yellow,Discretionary
TXN0224,2026-01-27 16:34:00,IRCTC,,Travel,36562,Credit Card,False,8361,Yellow,Discretionary
TXN0225,2026-02-04 03:30:00,INOX Movies,,Entertainment,23273,Net Banking,False,87707,Yellow,Discretionary
TXN0226,2026-01-17 00:05:00,Dmart,,Groceries,39448,UPI,False,41453,Orange,Necessary
TXN0227,2026-01-11 04:56:00,LIC Premium Payment,,Insurance,43139,UPI,False,63701,Red,Critical
TXN0228,2026-01-27 03:04:00,MakeMyTrip,,Travel,7629,Debit Card,False,37012,Yellow,Discretionary
TXN0229,2026-02-01 13:27:00,Lakme Salon,,Personal_Care,40011,Credit Card,False,86723,Yellow,Discretionary
TXN0230,2026-02-04 16:45:00,UPI-BSESRAJASTHAN@HDFC,,Utilities,18009,Credit Card,False,92604,Red,Critical
TXN0231,2026-01-07 12:28:00,Udemy,,Education,500,Net Banking,False,24277,Orange,Necessary
TXN0232,2026-01-02 09:29:00,UPI-ZOMATO-PAYMENTS@HDFC,,Dining,48660,UPI,False,83491,Yellow,Discretionary
TXN0233,2026-01-16 12:20:00,HDFC Life,,Insurance,27614,Debit Card,True,59960,Red,Critical
TXN0234,2026-01-26 19:57:00,MakeMyTrip,,Travel,47390,UPI,False,43017,Yellow,Discretionary
TXN0235,2026-01-29 02:50:00,Rajesh General Store,,Groceries,10416,UPI,False,99385,Orange,Necessary
TXN0236,2026-01-20 07:08:00,UPI-SWIGGY@ICICI,,Dining,29139,Net Banking,False,87261,Yellow,Discretionary
TXN0237,2026-02-04 08:35:00,Loan EMI,,Financial,18002,UPI,True,28755,Red,Critical
TXN0238,2026-01-31 20:47:00,MakeMyTrip,,Travel,7367,Net Banking,False,37625,Yellow,Discretionary
TXN0239,2026-01-28 06:37:00,Amazon India,,Shopping,14551,UPI,False,52307,Yellow,Discretionary
