merchant_name,merchant_category,amount,is_recurring,user_balance_pre,hour,day_of_week,label_category_enc,label_urgency_enc
8,10,18698,1,68061,5,5,2,2
31,1,44192,0,41187,5,6,0,0
35,13,3128,1,32592,14,3,0,0
16,4,41372,1,75954,20,4,2,2
20,9,16089,0,19842,20,4,0,0
11,3,14441,0,23553,16,6,0,0
22,6,16431,0,16406,18,2,1,1
16,4,49596,1,58508,21,2,2,2
4,4,48836,0,62716,11,2,2,2
18,0,18273,0,68827,1,4,1,1
7,7,5177,0,94025,0,2,1,1
7,7,21052,0,71298,16,6,1,1
35,13,25202,1,91457,22,2,0,0
29,1,26812,0,43869,16,6,0,0
15,11,13655,0,55569,17,6,0,0
13,5,486,0,46605,14,2,1,1
15,11,32096,0,29260,10,1,0,0
30,9,25584,0,44557,10,5,0,0
23,10,8464,1,82060,7,6,2,2
10,5,5601,0,84746,12,1,1,1
4,4,3395,0,34599,6,6,2,2
9,8,21520,1,44736,15,2,2,2
7,7,16632,0,11235,9,3,1,1
5,6,14794,0,85715,2,6,1,1
26,15,13165,0,3171,6,3,2,2
32,0,31135,0,88247,4,1,1,1
16,4,24275,1,22492,13,2,2,2
23,10,7184,0,76349,4,4,2,2
13,5,46959,0,26495,11,6,1,1
11,3,44943,0,79197,12,1,0,0
17,14,43453,0,49071,3,6,0,0
27,15,32225,0,14333,17,1,2,2
4,4,28640,0,23586,9,1,2,2
20,9,28645,0,96317,23,1,0,0
3,2,5779,0,37059,12,2,1,1
16,4,22146,0,4261,11,4,2,2
23,10,14001,1,47007,18,0,2,2
7,7,36524,0,1830,12,5,1,1
31,1,47290,0,53771,5,4,0,0
20,9,29471,0,2760,5,0,0,0
19,0,45436,0,32390,22,2,1,1
20,9,27985,0,98271,1,0,0,0
17,14,17854,0,40689,10,0,0,0
28,3,20779,0,16170,19,1,0,0
14,8,48505,1,63964,14,1,2,2
28,3,19514,0,30316,10,5,0,0
0,12,46500,0,70510,18,1,0,0
21,6,36364,0,38790,17,6,1,1
30,9,903,0,75743,22,1,0,0
20,9,22428,0,24664,8,5,0,0
30,9,4382,0,53021,9,4,0,0
21,6,9877,0,74272,19,2,1,1
32,0,36673,0,55048,14,2,1,1
13,5,29114,0,39474,18,1,1,1
0,12,40052,0,97504,12,0,0,0
9,8,43381,1,11141,3,3,2,2
8,10,10358,1,850,14,0,2,2
20,9,2239,0,30840,2,2,0,0
4,4,45148,1,31095,0,1,2,2
15,11,35788,0,29966,11,4,0,0
1,7,4779,0,8316,13,3,1,1
6,12,8249,0,61933,8,6,0,0
13,5,32898,0,71276,11,4,1,1
31,1,28413,0,96776,16,3,0,0
26,15,15102,1,88881,4,1,2,2
1,7,49662,0,23462,9,3,1,1
1,7,38460,0,57632,21,3,1,1
29,1,22903,0,54023,4,4,0,0
28,3,21714,0,54455,13,6,0,0
6,12,49940,0,72602,16,4,0,0
29,1,16641,0,42872,6,1,0,0
25,15,35659,0,61052,19,0,2,2
9,8,40904,1,99648,16,4,2,2
21,6,17601,0,72487,23,1,1,1
16,4,8057,1,4283,16,3,2,2
23,10,36199,0,2292,3,0,2,2
31,1,7535,0,60982,8,1,0,0
20,9,33449,0,92959,10,1,0,0
20,9,16073,0,60371,2,0,0,0
10,5,39380,0,67116,23,1,1,1
29,1,27293,0,45048,2,5,0,0
27,15,47682,0,39632,17,1,2,2
24,13,35396,1,63983,16,4,0,0
13,5,21188,0,25227,17,6,1,1
10,5,27020,0,6220,11,3,1,1
13,5,43595,0,85961,22,2,1,1
21,6,33018,0,77856,2,4,1,1
4,4,34568,0,60390,16,3,2,2
15,11,5003,0,62037,1,1,0,0
10,5,21632,0,88889,6,6,1,1
2,2,47201,0,64456,14,6,1,1
31,1,41463,0,90205,1,2,0,0
29,1,6551,0,83566,0,0,0,0
4,4,45582,0,39751,7,4,2,2
3,2,19326,0,47484,1,6,1,1
35,13,34910,1,54508,18,0,0,0
8,10,5275,1,80387,9,6,2,2
30,9,15316,0,60943,0,4,0,0
16,4,43802,0,1731,4,3,2,2
8,10,29049,0,45793,17,1,2,2
34,11,30039,0,40099,1,5,0,0
30,9,15645,0,50486,0,1,0,0
6,12,1537,0,86775,0,0,0,0
25,15,45044,0,98105,5,5,2,2
0,12,39884,0,46679,23,5,0,0
1,7,41272,0,13235,13,3,1,1
6,12,2286,0,76465,14,5,0,0
29,1,21511,0,98473,21,0,0,0
14,8,35450,1,48453,3,6,2,2
23,10,31678,0,39184,23,1,2,2
11,3,5034,0,18949,7,2,0,0
13,5,6018,0,52217,15,3,1,1
11,3,24255,0,88688,2,2,0,0
13,5,7200,0,88952,15,6,1,1
25,15,36892,0,43492,18,2,2,2
29,1,46045,0,40108,13,4,0,0
28,3,3071,0,5377,20,2,0,0
28,3,15487,0,70957,4,2,0,0
16,4,44040,1,97904,16,6,2,2
24,13,43020,1,13478,6,4,0,0
1,7,45338,0,49066,21,5,1,1
4,4,23868,0,13522,4,6,2,2
12,14,26192,0,36660,15,4,0,0
4,4,43535,0,28301,4,4,2,2
5,6,16062,0,17005,16,0,1,1
31,1,38529,0,28805,14,6,0,0
35,13,18271,1,19464,21,1,0,0
8,10,43423,0,3879,23,1,2,2
12,14,38691,0,42937,17,3,0,0
1,7,8407,0,97718,3,1,1,1
29,1,29478,0,47953,8,5,0,0
4,4,40411,1,6183,2,1,2,2
4,4,4086,0,63281,6,0,2,2
11,3,46787,0,58638,8,6,0,0
2,2,9821,0,9109,17,1,1,1
33,2,39250,0,70041,10,2,1,1
15,11,46091,0,15496,19,4,0,0
34,11,15074,0,54739,10,4,0,0
13,5,47915,0,12963,5,3,1,1
2,2,16804,0,49560,22,2,1,1
31,1,5694,0,12719,15,1,0,0
12,14,36562,0,8361,16,1,0,0
11,3,23273,0,87707,3,2,0,0
5,6,39448,0,41453,0,5,1,1
14,8,43139,0,63701,4,6,2,2
17,14,7629,0,37012,3,1,0,0
15,11,40011,0,86723,13,6,0,0
26,15,18009,0,92604,16,2,2,2
33,2,500,0,24277,12,2,1,1
31,1,48660,0,83491,9,4,0,0
9,8,27614,1,59960,12,4,2,2
17,14,47390,0,43017,19,0,0,0
21,6,10416,0,99385,2,3,1,1
29,1,29139,0,87261,7,1,0,0
16,4,18002,1,28755,8,2,2,2
17,14,7367,0,37625,20,5,0,0
0,12,14551,0,52307,6,2,0,0
26,15,19853,0,28186,5,2,2,2
6,12,7963,0,1513,15,4,0,0
8,10,25017,1,70306,0,0,2,2
12,14,26122,0,97760,22,4,0,0
27,15,5202,0,41533,4,1,2,2
13,5,19073,0,15596,10,0,1,1
3,2,40609,0,60805,9,6,1,1
29,1,7037,0,32391,19,1,0,0
29,1,20434,0,98254,10,4,0,0
3,2,5105,0,67410,19,3,1,1
9,8,23109,0,95839,8,4,2,2
32,0,9697,0,34050,23,4,1,1
35,13,11709,1,82806,11,4,0,0
16,4,41205,0,41936,20,2,2,2
29,1,29080,0,83256,18,2,0,0
5,6,33348,0,10224,3,3,1,1
4,4,3828,1,48831,1,2,2,2
29,1,30424,0,76564,5,0,0,0
4,4,21171,1,79799,15,3,2,2
5,6,6883,0,45515,12,0,1,1
8,10,16336,0,93249,22,1,2,2
23,10,24535,1,37579,15,6,2,2
2,2,39283,0,7363,17,3,1,1
29,1,6293,0,73633,20,5,0,0
6,12,47530,0,86557,10,2,0,0
3,2,38290,0,87480,10,2,1,1
6,12,8550,0,78493,6,0,0,0
6,12,42271,0,43554,19,1,0,0
34,11,1294,0,48026,1,3,0,0
9,8,31968,0,25666,7,6,2,2
35,13,19485,1,13756,2,5,0,0
2,2,8688,0,78782,3,6,1,1
8,10,45506,1,82385,12,3,2,2
5,6,23974,0,89152,17,0,1,1
16,4,49408,0,98612,10,2,2,2
19,0,30837,0,25930,17,5,1,1
16,4,25126,1,66416,0,6,2,2
8,10,39727,0,18640,9,0,2,2
20,9,36442,0,13946,9,0,0,0
0,12,10606,0,36255,10,2,0,0
15,11,14651,0,59630,21,4,0,0
15,11,26082,0,66299,0,6,0,0
10,5,24670,0,29930,6,4,1,1
11,3,9671,0,18535,17,4,0,0
30,9,49831,0,92976,8,3,0,0
26,15,1345,1,34044,19,5,2,2
15,11,18981,0,31647,16,2,0,0
21,6,27613,0,84248,8,3,1,1
31,1,32856,0,78715,9,6,0,0
18,0,9509,0,38677,12,1,1,1
12,14,37499,0,55100,12,4,0,0
12,14,34575,0,71813,2,5,0,0
13,5,2953,0,83818,14,6,1,1
1,7,23502,0,9355,16,4,1,1
11,3,8843,0,6311,0,5,0,0
23,10,45673,0,63222,18,3,2,2
35,13,47026,1,60488,16,4,0,0
14,8,13172,1,5992,8,3,2,2
13,5,16701,0,5299,6,2,1,1
6,12,3232,0,86448,2,4,0,0
11,3,28736,0,52931,19,1,0,0
13,5,12343,0,65538,11,6,1,1
17,14,5514,0,95800,7,1,0,0
15,11,35848,0,39004,14,3,0,0
29,1,43414,0,39250,22,2,0,0
15,11,45304,0,58683,23,4,0,0
22,6,23205,0,81089,19,1,1,1
21,6,44086,0,84060,11,0,1,1
8,10,9457,0,80135,20,5,2,2
21,6,4506,0,31432,8,4,1,1
17,14,37274,0,4744,12,2,0,0
16,4,24480,0,58688,11,6,2,2
17,14,20703,0,85639,16,1,0,0
28,3,48313,0,24885,17,4,0,0
11,3,17158,0,92779,7,2,0,0
6,12,13218,0,16574,4,2,0,0
4,4,46851,1,58841,23,6,2,2
12,14,36144,0,71563,5,2,0,0
8,10,23790,0,67183,4,6,2,2
14,8,15614,1,65252,4,4,2,2
17,14,36252,0,17509,20,2,0,0
29,1,26193,0,94469,17,0,0,0
34,11,37776,0,10166,16,1,0,0
29,1,30628,0,89643,13,5,0,0
35,13,8556,1,57204,21,4,0,0
28,3,20031,0,22081,8,3,0,0
19,0,34106,0,37730,14,6,1,1
9,8,8303,0,82422,18,2,2,2
8,10,11319,0,86841,10,3,2,2
21,6,5423,0,6458,4,4,1,1
9,8,40608,1,84253,9,4,2,2
6,12,31750,0,32596,4,6,0,0
6,12,4882,0,90757,17,5,0,0
16,4,31835,0,61375,6,5,2,2
24,13,47178,1,42353,9,1,0,0
10,5,49950,0,49067,10,5,1,1
3,2,30670,0,16559,4,1,1,1
32,0,6444,0,7132,4,2,1,1
15,11,10566,0,43417,6,1,0,0
14,8,32754,1,67966,5,3,2,2
6,12,1618,0,12302,21,6,0,0
32,0,38330,0,46754,5,5,1,1
6,12,39258,0,86255,14,5,0,0
0,12,7144,0,56982,2,2,0,0
17,14,24082,0,6430,5,0,0,0
9,8,36356,1,38327,8,6,2,2
16,4,40944,1,89681,19,2,2,2
35,13,25914,1,49415,10,4,0,0
35,13,39583,1,67231,6,0,0,0
21,6,9080,0,94031,3,4,1,1
4,4,39831,0,68068,8,2,2,2
3,2,25852,0,81305,15,1,1,1
2,2,33504,0,70274,7,4,1,1
30,9,24240,0,43916,15,5,0,0
34,11,47634,0,90683,15,3,0,0
20,9,43064,0,76321,6,1,0,0
22,6,31586,0,22849,20,5,1,1
35,13,2169,1,75547,21,6,0,0
14,8,29003,1,41616,1,1,2,2
15,11,26994,0,66274,19,2,0,0
22,6,9149,0,68484,10,5,1,1
20,9,20662,0,23199,22,2,0,0
17,14,40081,0,63962,18,4,0,0
7,7,14836,0,39508,3,2,1,1
20,9,31544,0,46218,12,0,0,0
0,12,37683,0,89186,17,6,0,0
13,5,9699,0,38570,21,4,1,1
29,1,29091,0,86479,16,0,0,0
14,8,35396,1,36037,13,0,2,2
35,13,40449,1,97610,16,1,0,0
32,0,43998,0,70104,6,6,1,1
21,6,27186,0,43792,15,0,1,1
28,3,439,0,72635,4,3,0,0
20,9,42733,0,26643,9,2,0,0
33,2,42429,0,8254,1,0,1,1
21,6,27486,0,23540,15,4,1,1
30,9,49186,0,38441,16,4,0,0
0,12,22057,0,37798,16,2,0,0
24,13,17980,1,25772,3,1,0,0
23,10,42586,1,34220,16,0,2,2
25,15,22192,0,39169,20,0,2,2
23,10,28129,0,68038,22,3,2,2
10,5,12209,0,18930,17,3,1,1
32,0,17190,0,50775,17,6,1,1
7,7,19888,0,76844,21,0,1,1
7,7,45501,0,31472,19,5,1,1
16,4,10567,1,53638,5,6,2,2
11,3,24187,0,81060,1,6,0,0
24,13,10139,1,60134,0,2,0,0
34,11,49733,0,70953,5,5,0,0
18,0,49562,0,78594,17,6,1,1
12,14,37073,0,15207,19,5,0,0
35,13,21603,1,68702,2,2,0,0
9,8,6059,0,67395,6,2,2,2
4,4,33736,0,54950,18,2,2,2
16,4,47500,0,3353,0,0,2,2
25,15,14380,0,76300,7,6,2,2
34,11,46000,0,8857,15,6,0,0
29,1,2179,0,38129,14,0,0,0
24,13,24640,1,50632,9,2,0,0
10,5,44843,0,87242,13,6,1,1
12,14,11796,0,70919,21,6,0,0
32,0,49656,0,3479,13,2,1,1
34,11,15151,0,32941,23,2,0,0
24,13,12452,1,95530,3,1,0,0
15,11,15872,0,27511,1,6,0,0
5,6,39276,0,88583,0,0,1,1
18,0,2999,0,53225,23,1,1,1
14,8,9283,1,66546,3,2,2,2
2,2,39285,0,88650,14,3,1,1
0,12,43367,0,68821,1,6,0,0
6,12,4094,0,73470,22,1,0,0
34,11,3172,0,45643,6,4,0,0
2,2,27384,0,54011,18,2,1,1
10,5,49541,0,71007,13,3,1,1
19,0,46471,0,19420,1,3,1,1
34,11,36622,0,69967,2,2,0,0
19,0,13425,0,43788,10,4,1,1
16,4,6159,1,70706,23,0,2,2
5,6,24818,0,88799,12,2,1,1
31,1,38607,0,95436,13,5,0,0
30,9,21921,0,40239,16,3,0,0
14,8,49047,0,99371,19,3,2,2
9,8,15784,0,72862,15,3,2,2
13,5,35073,0,85529,8,5,1,1
7,7,33707,0,65679,5,3,1,1
20,9,13412,0,49089,5,3,0,0
22,6,14601,0,97657,15,2,1,1
7,7,19445,0,20476,22,4,1,1
19,0,37441,0,32708,17,4,1,1
7,7,47519,0,84608,15,1,1,1
4,4,48122,0,46660,16,3,2,2
30,9,35629,0,84623,16,5,0,0
31,1,518,0,54553,6,2,0,0
31,1,699,0,29168,0,5,0,0
12,14,40590,0,84088,8,5,0,0
30,9,533,0,70258,2,0,0,0
26,15,34795,1,95159,12,1,2,2
25,15,45834,0,88846,14,1,2,2
28,3,34466,0,20016,23,6,0,0
7,7,17619,0,52522,14,6,1,1
13,5,37127,0,32377,17,6,1,1
0,12,42943,0,85682,13,2,0,0
29,1,24955,0,49936,3,0,0,0
22,6,719,0,92623,19,3,1,1
20,9,42364,0,43920,18,0,0,0
21,6,13955,0,91239,19,0,1,1
1,7,4972,0,90209,18,1,1,1
23,10,1126,0,27652,17,1,2,2
10,5,19713,0,21792,15,0,1,1
13,5,25255,0,99539,15,1,1,1
29,1,3619,0,13303,21,1,0,0
29,1,39760,0,80960,2,2,0,0
3,2,41657,0,36325,12,2,1,1
19,0,36343,0,49707,15,1,1,1
10,5,40641,0,39215,5,0,1,1
29,1,10207,0,50307,9,0,0,0
13,5,23738,0,14465,3,0,1,1
6,12,23687,0,35858,15,0,0,0
31,1,28344,0,59330,8,0,0,0
28,3,5973,0,46888,5,0,0,0
33,2,908,0,38753,19,0,1,1
31,1,37583,0,68802,17,3,0,0
8,10,17723,0,39969,5,1,2,2
35,13,11058,1,57473,13,1,0,0
6,12,5141,0,47833,10,0,0,0
30,9,30106,0,14521,3,2,0,0
27,15,21872,1,81789,6,6,2,2
16,4,28320,0,85832,1,2,2,2
6,12,39632,0,91633,3,5,0,0
3,2,26199,0,42330,6,2,1,1
19,0,24745,0,37239,21,6,1,1
28,3,38912,0,72016,4,4,0,0
4,4,28834,1,38685,12,6,2,2
34,11,9221,0,83512,18,2,0,0
1,7,46973,0,55960,3,6,1,1
16,4,38257,0,53034,7,6,2,2
5,6,46082,0,70873,0,2,1,1
28,3,43196,0,87622,3,5,0,0
22,6,42372,0,89297,10,4,1,1
33,2,7043,0,1882,11,0,1,1
18,0,49045,0,68499,9,0,1,1
16,4,25733,1,61194,22,5,2,2
12,14,31738,0,14203,10,2,0,0
31,1,47951,0,19069,20,4,0,0
33,2,13657,0,68803,23,3,1,1
30,9,28815,0,95133,17,6,0,0
3,2,19778,0,6356,8,0,1,1
27,15,42565,1,14834,19,5,2,2
18,0,11532,0,72839,6,3,1,1
34,11,15294,0,53590,15,3,0,0
23,10,26024,1,4326,13,1,2,2
16,4,25582,1,1083,1,0,2,2
9,8,49404,0,92743,20,5,2,2
23,10,21463,1,26330,19,2,2,2
7,7,34684,0,84269,6,3,1,1
10,5,22901,0,46635,20,2,1,1
0,12,44147,0,18056,6,3,0,0
19,0,7764,0,24492,23,5,1,1
13,5,39187,0,18570,3,1,1,1
15,11,31994,0,83796,10,6,0,0
23,10,19029,1,18888,12,4,2,2
4,4,23629,0,1756,1,4,2,2
9,8,36903,0,66748,17,4,2,2
34,11,27338,0,93579,4,2,0,0
8,10,37153,1,4544,15,2,2,2
0,12,18112,0,29970,11,6,0,0
23,10,37170,0,97823,13,4,2,2
11,3,35693,0,48585,16,6,0,0
4,4,27962,1,13923,11,1,2,2
0,12,29573,0,34947,20,4,0,0
4,4,15628,0,28009,13,1,2,2
15,11,40480,0,18749,9,5,0,0
22,6,23091,0,70267,19,1,1,1
2,2,19278,0,38423,1,1,1,1
28,3,49258,0,54448,16,5,0,0
35,13,16462,1,19668,9,0,0,0
18,0,25836,0,64654,11,2,1,1
34,11,29721,0,10398,20,3,0,0
13,5,45628,0,48874,16,2,1,1
2,2,262,0,96539,5,0,1,1
12,14,35124,0,52629,21,5,0,0
9,8,17698,0,42818,21,1,2,2
24,13,22627,1,89963,16,2,0,0
21,6,41137,0,60738,17,3,1,1
23,10,30018,1,588,11,1,2,2
24,13,10518,1,36416,5,0,0,0
1,7,24469,0,87598,12,4,1,1
5,6,41099,0,40543,0,1,1,1
15,11,46217,0,12975,1,3,0,0
30,9,8796,0,78314,7,6,0,0
26,15,45686,1,45532,11,1,2,2
24,13,4741,1,30508,10,6,0,0
28,3,20635,0,48677,14,2,0,0
10,5,42146,0,89253,12,2,1,1
25,15,42699,1,22011,0,2,2,2
14,8,27081,1,81250,5,6,2,2
14,8,6684,1,18851,5,2,2,2
13,5,28240,0,41722,8,2,1,1
1,7,16363,0,73034,8,2,1,1
25,15,19868,0,27428,13,5,2,2
13,5,42447,0,7652,21,6,1,1
10,5,15899,0,65981,0,4,1,1
27,15,20840,0,17799,14,6,2,2
12,14,30968,0,10067,18,3,0,0
27,15,14238,0,5720,18,5,2,2
6,12,27859,0,92487,7,0,0,0
24,13,5578,1,41120,14,6,0,0
24,13,25706,1,77365,20,3,0,0
6,12,47938,0,31778,15,5,0,0
29,1,7701,0,59924,20,2,0,0
0,12,7927,0,2160,5,0,0,0
26,15,32632,0,45943,19,5,2,2
23,10,8418,0,98774,5,1,2,2
27,15,28236,0,36149,20,5,2,2
1,7,32615,0,60163,5,5,1,1
5,6,37251,0,22373,17,5,1,1
1,7,37711,0,88858,21,0,1,1
18,0,33446,0,836,0,5,1,1
32,0,31017,0,48207,10,6,1,1
8,10,36332,0,94088,17,1,2,2
19,0,16370,0,55059,18,0,1,1
1,7,37556,0,49364,10,1,1,1
8,10,33901,1,6519,5,0,2,2
16,4,20461,1,43399,22,6,2,2
27,15,13251,1,38719,15,0,2,2
19,0,24235,0,78054,10,4,1,1
32,0,517,0,54244,2,4,1,1
12,14,22055,0,691,12,2,0,0
0,12,13547,0,69943,20,6,0,0
30,9,9430,0,93777,17,1,0,0
21,6,34162,0,54640,21,6,1,1
4,4,38161,1,13027,0,5,2,2
10,5,38890,0,74925,20,5,1,1
35,13,19215,1,34708,8,3,0,0
33,2,29771,0,36145,15,6,1,1
14,8,38419,1,14783,1,3,2,2
23,10,30643,0,41660,12,0,2,2
12,14,29716,0,40910,2,3,0,0
28,3,10429,0,90422,20,2,0,0
9,8,9820,1,12455,8,0,2,2
17,14,33750,0,6916,19,5,0,0
1,7,2136,0,53504,13,2,1,1
11,3,6778,0,18822,12,1,0,0
21,6,8666,0,26469,5,0,1,1
29,1,5014,0,3357,22,5,0,0
4,4,6127,1,43956,13,1,2,2
4,4,11109,1,75720,17,1,2,2
30,9,25182,0,90050,10,1,0,0
12,14,12365,0,36542,17,1,0,0
35,13,40346,1,81656,1,3,0,0
6,12,27100,0,72679,19,3,0,0
29,1,25201,0,18487,1,1,0,0
18,0,35729,0,3059,9,6,1,1
20,9,22646,0,74641,20,4,0,0
13,5,11884,0,3916,12,3,1,1
27,15,3939,1,62324,2,6,2,2
32,0,6662,0,32987,21,4,1,1
1,7,14479,0,75957,16,6,1,1
8,10,15602,1,78162,11,3,2,2
25,15,46011,1,46595,20,0,2,2
9,8,35628,1,41008,23,3,2,2
21,6,3781,0,30990,9,2,1,1
25,15,31425,0,589,2,4,2,2
24,13,47085,1,23760,17,3,0,0
26,15,38544,0,92865,10,2,2,2
12,14,24583,0,92845,3,5,0,0
11,3,19876,0,42784,5,2,0,0
34,11,42644,0,42086,22,3,0,0
18,0,38697,0,23483,5,6,1,1
0,12,11746,0,96029,1,3,0,0
21,6,39578,0,42209,19,2,1,1
11,3,9317,0,43906,22,1,0,0
19,0,21039,0,22505,22,3,1,1
33,2,846,0,35261,13,5,1,1
29,1,16920,0,14660,18,0,0,0
5,6,28819,0,96521,2,1,1,1
34,11,24919,0,46536,20,6,0,0
11,3,37983,0,85823,12,2,0,0
23,10,4930,1,4879,10,2,2,2
33,2,6963,0,10225,13,4,1,1
10,5,48071,0,10330,21,6,1,1
2,2,40315,0,63773,1,0,1,1
15,11,39901,0,57411,3,3,0,0
11,3,13570,0,25401,15,0,0,0
6,12,15667,0,13071,6,5,0,0
30,9,3672,0,47794,4,3,0,0
29,1,43486,0,82431,7,2,0,0
14,8,1786,0,27625,18,3,2,2
29,1,7669,0,40916,2,0,0,0
20,9,6072,0,84630,18,6,0,0
23,10,25098,1,48918,11,4,2,2
5,6,28918,0,61456,23,0,1,1
1,7,10004,0,99096,16,6,1,1
29,1,35584,0,54762,10,2,0,0
5,6,34347,0,55370,8,6,1,1
19,0,19685,0,10848,23,6,1,1
35,13,49723,1,59356,20,3,0,0
14,8,8369,1,6093,6,1,2,2
15,11,41205,0,19882,1,2,0,0
2,2,4491,0,11906,15,6,1,1
33,2,34158,0,60551,13,3,1,1
11,3,9906,0,19924,18,0,0,0
28,3,18849,0,70706,15,4,0,0
7,7,43012,0,64146,0,1,1,1
21,6,18149,0,53318,13,2,1,1
5,6,21824,0,91007,19,6,1,1
20,9,24508,0,3151,9,4,0,0
6,12,32318,0,91750,4,6,0,0
32,0,19792,0,97981,3,2,1,1
7,7,39747,0,85114,1,0,1,1
4,4,26784,1,97617,1,4,2,2
22,6,10518,0,9100,3,3,1,1
35,13,11486,1,25765,3,5,0,0
32,0,30013,0,7126,9,5,1,1
7,7,30523,0,66707,1,0,1,1
26,15,24509,1,64566,0,2,2,2
23,10,38561,0,72764,22,4,2,2
23,10,49183,1,90789,2,0,2,2
27,15,3353,0,21852,1,1,2,2
18,0,14852,0,89326,9,5,1,1
15,11,44808,0,1666,13,3,0,0
8,10,14764,1,33581,16,2,2,2
7,7,24772,0,46206,21,2,1,1
9,8,19901,1,89261,16,5,2,2
28,3,33622,0,87316,0,6,0,0
0,12,31671,0,8867,7,4,0,0
33,2,17214,0,86498,8,0,1,1
14,8,34001,0,31996,14,5,2,2
2,2,9270,0,95040,3,4,1,1
6,12,27531,0,53531,16,6,0,0
9,8,47715,1,94002,2,6,2,2
17,14,11240,0,86694,9,0,0,0
0,12,30953,0,17269,17,1,0,0
23,10,42989,0,12204,2,6,2,2
18,0,20225,0,55612,1,4,1,1
7,7,30493,0,15937,9,3,1,1
29,1,12849,0,66098,10,1,0,0
6,12,3643,0,20262,6,2,0,0
33,2,37416,0,60474,12,2,1,1
8,10,32054,0,44098,17,3,2,2
2,2,3901,0,1117,13,2,1,1
14,8,37867,1,21266,6,4,2,2
24,13,41616,1,56783,8,0,0,0
20,9,405,0,5444,7,6,0,0
12,14,21216,0,99701,4,6,0,0
25,15,370,1,82641,9,1,2,2
18,0,22667,0,41406,20,1,1,1
13,5,11045,0,9057,1,5,1,1
6,12,47799,0,68695,3,2,0,0
15,11,22561,0,64748,8,5,0,0
23,10,1353,0,30439,5,6,2,2
14,8,38746,0,66643,16,3,2,2
12,14,24688,0,84428,15,0,0,0
22,6,7185,0,86164,21,3,1,1
11,3,29218,0,50340,14,1,0,0
